[run number],T,game-size,R,eps,S,percent-of-C,percent-of-FREE,percent-of-COMP,delta,percent-of-D,P,percent-of-FAKE,probablistic,[step],"count patches with [genome = ""COMP""]","count patches with [genome = ""C""]","count patches with [genome = ""D""]","count patches with [genome = ""FREE""]","count patches with [genome = ""FAKE""]"
246,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2398,52,0,151,0
247,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2591,0,0,10,0
248,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2594,0,0,7,0
249,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2552,5,0,44,0
250,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2543,22,0,36,0
251,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2579,0,0,22,0
254,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2593,0,0,8,0
253,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2591,0,0,10,0
252,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2581,0,0,20,0
255,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2601,0,0,0,0
256,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2599,0,0,2,0
257,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2590,0,0,11,0
258,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2572,0,0,29,0
259,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2568,0,0,33,0
260,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2583,0,0,18,0
261,2,50,1,0.4,-1,0.2,0.2,0.2,4,0.2,0,0.2,FALSE,200,2567,0,0,34,0
